,Unnamed: 0,URL,address,signal
67,72,https://www.tripadvisor.com/Hotel_Review-g60745-d1138709-Reviews-Hotel_Indigo_Boston_Garden-Boston_Massachusetts.html,"280 Friend St, Boston, MA 02114-1801",finish
68,73,https://www.tripadvisor.com/Hotel_Review-g60745-d111434-Reviews-Newbury_Guest_House-Boston_Massachusetts.html,"261 Newbury St, Boston, MA 02116-2402",finish
69,74,https://www.tripadvisor.com/Hotel_Review-g60745-d4232689-Reviews-Residence_Inn_Boston_Downtown_Seaport-Boston_Massachusetts.html,"370 Congress St, Boston, MA 02210-1810",finish
70,75,https://www.tripadvisor.com/Hotel_Review-g60745-d12882338-Reviews-AC_Hotel_by_Marriott_Boston_Downtown-Boston_Massachusetts.html,"225 Albany St, Boston, MA 02118-2201",finish
71,76,https://www.tripadvisor.com/Hotel_Review-g60745-d3169894-Reviews-HI_Boston_Hostel-Boston_Massachusetts.html,"19 Stuart Street, Boston, MA 02116-4723",finish
72,77,https://www.tripadvisor.com/Hotel_Review-g60745-d89619-Reviews-Courtyard_Boston_Downtown-Boston_Massachusetts.html,"275 Tremont Street, Boston, MA 02116",finish
73,78,https://www.tripadvisor.com/Hotel_Review-g60745-d15528935-Reviews-Residence_Inn_Boston_Downtown_South_End-Boston_Massachusetts.html,"2001 Washington St, Boston, MA 02119-2019",finish
74,79,https://www.tripadvisor.com/Hotel_Review-g60745-d89568-Reviews-Staypineapple_A_Delightful_Hotel_South_End_Boston-Boston_Massachusetts.html,"26 Chandler Street, Boston, MA 02116-5221",finish
75,80,https://www.tripadvisor.com/Hotel_Review-g60745-d3952875-Reviews-Bricco_Suites-Boston_Massachusetts.html,"241 Hanover St, Boston, MA 02113-2322",finish
76,81,https://www.tripadvisor.com/Hotel_Review-g60745-d678412-Reviews-Renaissance_Boston_Waterfront_Hotel-Boston_Massachusetts.html,"606 Congress Street, Boston, MA 02210-2803",finish
77,82,https://www.tripadvisor.com/Hotel_Review-g60745-d217148-Reviews-Ramada_by_Wyndham_Boston-Boston_Massachusetts.html,"800 William T Morrissey Blvd, Boston, MA 02122-3404",finish
78,83,https://www.tripadvisor.com/Hotel_Review-g60745-d549445-Reviews-Hotel_140-Boston_Massachusetts.html,"140 Clarendon Street Back Bay, Boston, MA 02116-5169",finish
79,84,https://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html,"81 South Huntington Avenue, Boston, MA 02130-4704",finish
80,85,https://www.tripadvisor.com/Hotel_Review-g60745-d89596-Reviews-Oasis_Guest_House-Boston_Massachusetts.html,"22 Edgerly Rd Fenway Kenmore, Boston, MA 02115-3007",finish
81,86,https://www.tripadvisor.com/Hotel_Review-g60745-d120977-Reviews-Copley_House-Boston_Massachusetts.html,"239 W Newton St, Boston, MA 02116-6412",finish
82,87,https://www.tripadvisor.com/Hotel_Review-g60745-d89602-Reviews-Sheraton_Boston_Hotel-Boston_Massachusetts.html,"39 Dalton Street Prudential Center, Boston, MA 02199-3901",finish
83,89,https://www.tripadvisor.com/Hotel_Review-g60745-d254294-Reviews-Constitution_Marina_s_Bed_Breakfast_Afloat-Boston_Massachusetts.html,"28 Constitution Rd Charlestown, Boston, MA 02129-2008",finish
84,90,https://www.tripadvisor.com/Hotel_Review-g60745-d94363-Reviews-Courtyard_by_Marriott_Boston_Logan_Airport-Boston_Massachusetts.html,"225 William F McClellan Hwy, Boston, MA 02128-1176",finish
85,91,https://www.tripadvisor.com/Hotel_Review-g60745-d222958-Reviews-Comfort_Inn_Boston-Boston_Massachusetts.html,"900 William T Morrissey Blvd, Boston, MA 02122-3329",finish
86,92,https://www.tripadvisor.com/Hotel_Review-g60745-d13846823-Reviews-Boston_Luxury_Suites-Boston_Massachusetts.html,"7 Doris St, Boston, MA 02125-1427",finish
87,93,https://www.tripadvisor.com/Hotel_Review-g60745-d15334761-Reviews-Global_Luxury_Suites_On_Harrison_Ave-Boston_Massachusetts.html,"8 Harrison Ave, Boston, MA 02111-2014",finish
88,94,https://www.tripadvisor.com/Hotel_Review-g60745-d16901250-Reviews-Four_Seasons_Hotel_One_Dalton_Street_Boston-Boston_Massachusetts.html,"1 Dalton St, Boston, MA 02115-3184",finish
89,95,https://www.tripadvisor.com/Hotel_Review-g60745-d222955-Reviews-The_Ritz_Carlton_Boston-Boston_Massachusetts.html,"10 Avery Street, Boston, MA 02111",finish
90,97,https://www.tripadvisor.com/Hotel_Review-g60745-d1467037-Reviews-Green_Turtle_Floating_Bed_and_Breakfast-Boston_Massachusetts.html,"1 Pier 8 at the end of 13th Street, Boston, MA 02129-2017",finish
91,98,https://www.tripadvisor.com/Hotel_Review-g60745-d225873-Reviews-Charlesmark_Hotel-Boston_Massachusetts.html,"655 Boylston St, Boston, MA 02116-2804",finish
92,99,https://www.tripadvisor.com/Hotel_Review-g60745-d555224-Reviews-Courtyard_Boston_South_Boston-Boston_Massachusetts.html,"63R Bolton St, Boston, MA 02127-1105",finish
93,100,https://www.tripadvisor.com/Hotel_Review-g60745-d77629-Reviews-Hotel_Boston-Boston_Massachusetts.html,"40 Mount Hood Rd, Boston, MA 02135-5604",finish
94,101,https://www.tripadvisor.com/Hotel_Review-g60745-d89615-Reviews-The_Newbury_Boston-Boston_Massachusetts.html,"One Newbury Street, Boston, MA 02116",finish
95,103,https://www.tripadvisor.com/Hotel_Review-g60745-d21002823-Reviews-Homewood_Suites_by_Hilton_Boston_Seaport-Boston_Massachusetts.html,"670 Summer Street Corner of Summer St and Drydock Ave, Boston, MA 02210",finish
96,104,https://www.tripadvisor.com/Hotel_Review-g60745-d21002821-Reviews-Hampton_Inn_Boston_Seaport-Boston_Massachusetts.html,"670 Summer Street Corner of Summer St and Drydock Ave, Boston, MA 02210",finish
97,105,https://www.tripadvisor.com/Hotel_Review-g60745-d17627659-Reviews-Bedrooms_near_Fenway_Dowtown_Boston-Boston_Massachusetts.html,"182 Heath St, Boston, MA 02130-1129",finish
98,106,https://www.tripadvisor.com/Hotel_Review-g60745-d19957010-Reviews-Private_Rooms_Shared_Bath_In_Cozy_Homestay-Boston_Massachusetts.html,"296 Lexington St, Boston, MA 02128-2514",finish
99,107,https://www.tripadvisor.com/Hotel_Review-g60745-d2079076-Reviews-14_Union_Park-Boston_Massachusetts.html,"14 Union Park, Boston, MA 02118-3700",finish
100,108,https://www.tripadvisor.com/Hotel_Review-g60745-d16670117-Reviews-The_Upton-Boston_Massachusetts.html,"592 Tremont St, Boston, MA 02118-1654",finish
101,109,https://www.tripadvisor.com/Hotel_Review-g60745-d15012308-Reviews-Perkins_Inn-Boston_Massachusetts.html,"32 Perkins St, Boston, MA 02130-1109",finish
102,110,https://www.tripadvisor.com/Hotel_Review-g60745-d1672194-Reviews-Back_Bay_Beacon-Boston_Massachusetts.html,"113 Beacon St, Boston, MA 02116-1533",finish
103,111,https://www.tripadvisor.com/Hotel_Review-g60745-d13119752-Reviews-Stay_Alfred_on_Longfellow_Place-Boston_Massachusetts.html,"1 Longfellow Place, Boston, MA 02114-2438",finish
